,left_elbow_roll,left_elbow_pitch,left_elbow_yaw,right_elbow_roll,right_elbow_pitch,right_elbow_yaw,left_knee_roll,left_knee_pitch,left_knee_yaw,right_knee_roll,right_knee_pitch,right_knee_yaw,left_hip_roll,left_hip_pitch,left_hip_yaw,right_hip_roll,right_hip_pitch,right_hip_yaw,left_ankle_roll,left_ankle_pitch,left_ankle_yaw,right_ankle_roll,right_ankle_pitch,right_ankle_yaw
0,-78.2639010763477,11.882767664422934,-151.37615016838305,-84.67921891212144,12.052023888029439,-21.89213394111325,-82.86788276055191,-19.8138936094213,-77.42522594066804,-84.93286747211822,-19.34684731377355,-74.15664580036737,-58.3507769916828,-26.19061264247162,-83.22496247793615,-53.07857617799306,-69.41405999862597,-87.90005945997913,-88.3872688862644,-63.50274205423531,-88.50055980817875,-71.27297276775388,-54.63435333060831,-92.68393406476709
1,-78.11897291819344,11.707890032317783,-147.58789302983104,-85.00316520830405,9.956397534126946,-36.65204306833288,-82.44705978916065,-21.58617486460609,-76.84136873749416,-85.047257297342,-20.739713366503747,-73.06328045311737,-58.27642741175466,-36.7735213065433,-82.26694964790046,-52.57602747965723,-71.37966160407701,-87.84564797638679,-88.21898978592229,-65.08039609388047,-88.52299244270056,-71.13793967302648,-57.74616695282922,-91.67498577292724
2,-78.18205817175203,10.706598768849853,-145.10707136190686,-85.2762166468731,9.284978294743818,-47.146855414699154,-81.51984848627217,-22.19187643769018,-76.8782030179443,-85.02663208684253,-21.33083840084085,-72.7579206487322,-58.29915192008147,-41.59534091383204,-81.94239452851124,-52.4560523127363,-71.4988574778588,-87.88908658299735,-87.94736530969269,-65.55898166487185,-88.69338132995249,-70.92864019303192,-58.32533667097781,-91.97807327148409
3,-77.67760850941919,11.457069830986566,-141.84033054150285,-85.30629143506908,9.91523832642195,-57.97221197363919,-81.1471947990709,-22.261907063695205,-77.13087136768438,-84.94290443134578,-21.813308851755327,-72.61994119729515,-58.252276177239885,-41.430977480133684,-81.88007774519352,-52.63496414428532,-69.77973696489778,-87.92239071357265,-87.85451075487703,-65.37722533818238,-88.76628482597408,-70.64556015629144,-58.694794091863734,-92.34193540327482
4,-77.55507719720154,11.644865802205112,-141.10503947770712,-85.299900532593,10.542693377417812,-63.01632218352986,-80.95029420909634,-21.871472791667102,-77.42352660619237,-85.17402744847477,-21.970592404956264,-72.50249618746139,-58.33281345906069,-40.24473393267069,-81.94927954000687,-52.90256833627667,-68.10293063703917,-87.98206752644687,-87.78502049382146,-64.87738637312751,-88.94483229769656,-70.56351628386497,-57.32593880719498,-92.44866926624898
5,-77.64419496501237,11.98250683662701,-142.27961199671225,-85.31240269300388,11.037559971284493,-66.33126648742143,-80.62574610113819,-21.777376489998442,-77.5247761237429,-85.01058966102565,-22.03623956268705,-72.5614818590373,-58.362002071078486,-39.25459933735509,-82.08062761208375,-53.1301376877233,-67.20674375392082,-87.95261735868156,-87.71901040735987,-64.95488173633234,-89.02621119798987,-70.27276654866647,-57.84716889999444,-92.47560165948366
6,-77.69698600732961,12.346107200731208,-143.21222367305324,-85.23518292976576,11.22977212930756,-67.89418822655146,-80.58059482055363,-21.74684806642284,-77.56822636257232,-85.01281337960013,-22.170756675405453,-72.52810049458907,-58.34751350652263,-39.29646665973925,-82.13769535244825,-53.31862061859216,-66.32832533457095,-87.95437387291288,-87.745572886737,-64.96255522497879,-89.02041667689812,-70.17970848631458,-58.0558376796336,-92.60772897513898
7,-77.90968596752407,12.580141561782971,-145.2266170107588,-85.16346893304787,11.36435260182521,-68.08781218779566,-80.5964162950766,-21.71587969495027,-77.53566983871706,-84.97430529443703,-22.12538882533057,-72.55147124664751,-58.36183962021834,-38.68769622702528,-82.25493555236962,-53.38555036369781,-65.9490077579316,-87.95576687701036,-87.76230524183455,-65.09152363978892,-89.01493422347593,-70.17731772452214,-57.907172869403325,-92.73686356598267
8,-77.9643773910206,12.709731116543903,-145.53406048548226,-85.06775157350754,11.489815910272858,-69.66668519894652,-80.64811544328924,-20.930266680508293,-77.88645693631811,-84.93705781687429,-21.655363873821564,-72.65184241482059,-58.438458366746346,-36.968293636622036,-82.65829833289241,-53.446457965685454,-65.45889057796204,-88.2316627878606,-87.79019938439627,-64.29683067679622,-89.19846982995774,-70.40056301591825,-56.056403961111094,-93.25363459955608
9,-77.95647282603929,12.842019033230727,-145.4165558575447,-85.03898914446154,11.580882745094195,-70.85558452318712,-80.72912028936022,-20.28815434714297,-78.18030824199894,-85.13082040416447,-21.280629009227496,-72.65300038977368,-58.40452620832281,-35.95046389558569,-82.974262689437,-53.42229157802829,-65.08606754847666,-88.51521037040749,-87.82357123734992,-63.570501294873104,-89.3213521800153,-70.72496468518322,-54.7241147731801,-93.33136827557142
